ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
b uː f
ɑː ɹ d
b uː ɡ
v ɪ l
b uː ɡ
l iː ə
b aʊ
b aʊ ə
aʊ ə n
b aʊ ə
aʊ ə ɹ
b aʊ m
m ə n
b aʊ n
n ə ɹ
b aʊ z
b ɑː t
b ɔː t
b ɔː t
t ə n
b ɔː t
t ə ɹ
b aʊ t
t ə n
b uː ʒ
uː ʒ iː
b uː iː
b uː l
b eɪ s
b uː w
l ə n
b aʊ k
n aɪ t
b uː l
uː l eɪ
b uː l
l ə s
b aʊ l
ŋ ə ɹ
b uː l
ə ɹ iː
b uː l
uː l eɪ
b ʊ d
d ə n
b oʊ l
d ə ɹ
b oʊ l
ə ɹ z
b uː l
b aʊ l
l ə ɹ
b uː l
l ɛ t
b uː l
l ɛ t
b ʊ l
ɑː ɹ d
b ʊ l
ɹ d z
b uː l
uː l iː
b uː l
l ɛ z
b uː l
iː ə ɹ
b uː l
j ə n
b uː l
l oʊ z
b oʊ l
t ə ɹ
b aʊ l
h aʊ s
b aʊ l
t ə n
b aʊ l
w ɛ ɹ
b oʊ m
oʊ m ə
b uː m
m æ n
b aʊ n
aʊ n s
b aʊ n
n s t
b aʊ n
s ə ɹ
b aʊ n
ə ɹ z
b aʊ n
s ɪ z
b aʊ n
n ə s
b aʊ n
s ɪ ŋ
b aʊ n
n s iː
b aʊ n
aʊ n d
b aʊ n
ɹ iː z
b aʊ n
ɹ iː z
b aʊ n
ə ɹ iː
b aʊ n
d ɹ iː
b aʊ n
d ə d
b aʊ n
d ɪ d
b aʊ n
d ə ɹ
b aʊ n
d ɪ ŋ
b aʊ n
l ə s
b aʊ n
n d z
b aʊ n
n d iː
b aʊ n
t iː z
b aʊ n
f ə l
b aʊ n
f ə l
b aʊ n
n t iː
b uː k
uː k eɪ
b oʊ k
k eɪ z
b uː k
k eɪ z
b aʊ ɹ
b ʊ ɹ
ɑː s ə
b ʊ ɹ
ɹ b oʊ
b ɛ ɹ
b ə n
b ɛ ɹ
ə n z
b aʊ ɹ
iː ə ɹ
b ʊ ɹ
ɹ d oʊ
b ɔː ɹ
ɔː ɹ ɡ
b ʊ ɹ
ɹ ɡ oʊ
b ʊ ɹ
ʒ w ɑː
b ʊ ɹ
ʒ w ɑː
b ʊ ɹ
ɑː z iː
b ʊ ɹ
ʒ ɛ t
b ʊ ɹ
ɔː j n
b ɔː ɹ
iː b ə
b ʊ ɹ
j oʊ n
b ɛ ɹ
ɛ ɹ k
b ʊ ɹ
æ n d
b ɔː ɹ
ɔː ɹ n
b ɔː ɹ
ɔː ɹ n
b ɔː ɹ
w ʊ d
b ɔː ɹ
iː ə s
b ɔː ɹ
v ɪ l
b ʊ ɹ
ʊ ɹ k
b ʊ ɹ
w æ n
b ʊ ɹ
ɹ ɛ t
b ɔː ɹ
ɔː ɹ s
b ɔː ɹ
s ɪ z
b ɔː ɹ
s ɪ z
b uː ɹ
k ɔː t
b ʌ ɹ
k ɔː t
b aʊ s
b uː s
s k ə
b ə s
m æ n
b uː s
k ɛ t
b uː s
s æ k
b uː s
ə n iː
b aʊ t
b uː t
t ɛ l
b uː t
t ɛ l
b aʊ θ
iː ə ɹ
b aʊ t
iː ə ɹ
b uː t
t æ n
b uː t
t iː k
b uː t
iː k s
b aʊ t
t ə n
b uː t
ɹ oʊ s
b aʊ t
aʊ t s
b uː t
b aʊ t
w ɛ l
b uː v
v iː eɪ
b aʊ ə
ə n z
b aʊ k
æ m p
b aʊ m
m ə n
b uː z
z m ə
b ɔː j
j ə ɹ
b ɔː j
j ʒ eɪ
b ɔː j
ɡ ɛ z
b uː z
uː z ə
b oʊ v
oʊ v ə
b ə v
ɑː ɹ d
b oʊ v
b ʌ v
ʌ v iː
b ʌ v
v ə n
b oʊ v
n z iː
b oʊ v
ɛ ɹ iː
b oʊ v
s p ɑː
b oʊ v
oʊ v iː
b oʊ v
v ɪ k
b oʊ v
v ɪ n
b oʊ v
iː n ə
b oʊ v
v aɪ n
b oʊ v
iː n oʊ
b aʊ
b oʊ
b oʊ ə
oʊ ə ɹ
b oʊ ə
ə ɹ d
b aʊ ʌ
t ə ɹ
b oʊ ɔː
t ə ɹ
b oʊ w
t ə ɹ
b oʊ k
k ə n
b oʊ d
d ə n
b aʊ d
d ə n
b oʊ d
d ɪ ʃ
b oʊ d
d ɪ tʃ
b oʊ d
d ə l
b oʊ d
ɔː j n
b oʊ
b aʊ d
b oʊ d
b aʊ ə
aʊ ə l
b ɑː w
w ɛ l
b aʊ ə
ə l z
b aʊ l
aʊ l z
b oʊ ə
oʊ ə n
b oʊ ə
ə n z
b aʊ ə
aʊ ə ɹ
b oʊ ə
m ə n
b oʊ ə
t ə ɹ
b aʊ ə
ə ɹ z
b oʊ ɛ
s ə k
b oʊ ɛ
ɑː k s
b aʊ ə
ə ɹ iː
b aʊ ə
ɹ iː z
b oʊ z
b oʊ ɪ
oʊ ɪ k
b oʊ iː
b oʊ ɪ
oʊ ɪ ŋ
b aʊ ɪ
aʊ ɪ ŋ
b oʊ k
k ə ɹ
b oʊ l
b oʊ l
ə n d
b oʊ l
l b iː
b oʊ l
l d z
b oʊ l
oʊ l d
b oʊ l
l ə n
b oʊ l
l ə ɹ
b oʊ l
ə ɹ z
b oʊ l
oʊ l z
b oʊ l
oʊ l iː
b oʊ l
l ɪ n
b oʊ l
l aɪ n
b oʊ l
l ɪ ŋ
b oʊ l
ɪ ŋ z
b oʊ l
oʊ l z
b oʊ l
l ə s
b oʊ m
m ə n
b oʊ m
ə n z
b oʊ m
m ə n
b oʊ m
m ə ɹ
b oʊ n
b oʊ n
n d z
b oʊ n
b oʊ ɹ
ɹ ɪ ŋ
b oʊ ɹ
ɹ ə n
b oʊ ɹ
ɹ ɑː n
b aʊ z
b oʊ z
b oʊ s
b aʊ z
aʊ z d
b oʊ z
z ə ɹ
b aʊ z
z ɪ z
b oʊ ʃ
ʃ ə ɹ
b aʊ z
z ɪ ŋ
b oʊ j
j ə ɹ
b ɑː k
ɑː k s
b ɑː k
ɡ ə ɹ
b ɑː k
k ɑː ɹ
b ɑː k
ɑː ɹ z
b ɑː k
k s t
b ɑː k
s ə l
b ɑː k
s ə ɹ
b ɑː k
ə ɹ z
b ɑː k
ə ɹ z
b ɑː k
s ə z
b ɑː k
s ɪ z
b ɑː k
s ɪ ŋ
b ɑː k
ɪ ŋ z
b ɑː k
s l iː
b ɑː k
w ɛ l
b ɑː k
w ʊ d
b ɑː k
ɑː k s
b ɑː k
k s iː
b ɔː j
b ɔː j
ɔː j z
b ɔː j
ɹ d iː
b ɔː j
k aʊ t
b ɔː j
j ə k
b ɔː j
iː ə n
b ɔː j
j ɑː n
b oʊ j
j ɑː ɹ
b ɔː j
ɔː j s
b ɔː j
k ɑː t
b ɔː j
t ɪ d
b ɔː j
t ɪ ŋ
b ɔː j
ɑː t s
b ɔː j
ɔː j d
b ɔː j
j d z
b ɔː j
ɔː j d
b ɔː j
d ə n
b ɔː j
t ə n
b ɔː j
t ə n
b ɔː j
b ɔː j
j iː ə
b ɔː j
j ə ɹ
b ɔː j
ə ɹ z
b ɔː j
t aʊ n
b ɔː j
ɔː j z
b ɔː j
j ɪ t
b ɔː j
j ɛ t
b ɔː j
ɛ n d
b ɔː j
n d z
b ɔː j
ɛ n z
b ɔː j
h ʊ d
b ɔː j
t ə n
b ɔː j
j ɪ ʃ
b ɔː j
k ɪ n
b ɔː j
ɪ n z
b ɔː j
j k oʊ
b ɔː j
l ə n
b ɔː j
ə n d
b ɔː j
ɔː j l
b ɔː j
l ə n
b ɔː j
j l z
b ɔː j
t ə n
b ɔː j
ə n z
b ɔː j
j l z
b ɔː j
t ə n
b ɔː j
ə n z
b ɔː j
ɔː j n
b ɔː j
t ə n
b ɔː j
ɔː j z
b ɔː j
ɔː j z
b ɔː j
s ə l
b ɔː j
s ə n
b ɔː j
z ə n
b ɔː j
ɔː j t
b ɔː j
ɔː j t
b ɔː j
t ə ɹ
b ɔː j
j ʌ m
b ɔː j
ɔː j z
b oʊ z
oʊ z ə
b ə z
ɑː ɹ d
b ɑː z
ə ɹ θ
b oʊ z
b oʊ z
z ɛ k
b oʊ z
z ɛ l
b oʊ z
ɛ l z
b oʊ z
m ə n
b oʊ z
iː ə n
b ɑː z
z ɪ k
b ɑː z
z ɪ h
b ɑː z
m ə n
b oʊ z
oʊ z oʊ
b oʊ z
z oʊ z
b ɑː z
t ɛ p
b oʊ z
t ɛ p
b ɑː z
ɛ p iː
b oʊ z
ɛ p iː
b ɑː z
ɑː z ə
b ɑː z
ɑː z iː
b ɑː z
ɑː z oʊ
b ɹ ɑː
b ɹ ɑː
s m ə
b ɹ ɑː
ɹ ɑː ʃ
b ɹ ɑː
t ə n
b ɹ ɑː
ɑː t s
b ɹ ɑː
ə n t
b ɹ ɑː
b ɪ k
b ɹ æ
d ə ɹ
b ɹ æ
h ə m
b ɹ æ
s ə n
b ɹ æ
ɹ æ k
b ɹ æ
n t iː
b ɹ æ
t iː z
b ɹ æ
t iː z
b ɹ ɑː
ɑː tʃ iː
b ɹ æ
æ k oʊ
b ɹ eɪ
ɹ eɪ s
b ɹ eɪ
s ɪ z
b ɹ eɪ
eɪ s t
b ɹ eɪ
l ə t
b ɹ eɪ
ɪ t s
b ɹ eɪ
s ə ɹ
b ɹ ɑː
ɛ ɹ oʊ
b ɹ eɪ
s ə z
b ɹ eɪ
s ɪ z
b ɹ eɪ
w ɛ l
b ɹ eɪ
eɪ s iː
b ɹ æ
ɹ æ tʃ
b ɹ æ
k ə ɹ
b ɹ æ
ə ɹ z
b ɹ ɑː
ɛ l d
b ɹ eɪ
k iː ə
b ɹ æ
k iː ə
b ɹ eɪ
k iː aɪ
b ɹ eɪ
k iː iː
b ɹ eɪ
p ɑː d
b ɹ eɪ
ɑː d z
b ɹ æ
æ k t
b ɹ eɪ
s ɪ ŋ
b ɹ eɪ
ɡ l iː
b ɹ æ
ɹ æ k
b ɹ æ
b ə l
b ɹ ə
k iː n
b ɹ æ
k ə n
b ɹ æ
ɛ ɹ iː
b ɹ æ
ə n z
b ɹ æ
k ə ɹ
b ɹ æ
k ɪ t
b ɹ æ
ə t s
b ɹ æ
ɪ t s
b ɹ æ
k ɪ t
b ɹ æ
k ɪ n
b ɹ æ
ɪ n z
b ɹ æ
k ɪ ʃ
b ɹ æ
m ə n
b ɹ æ
n ɛ l
b ɹ æ
k n iː
b ɹ eɪ
eɪ s iː
b ɹ æ
ɹ æ d
b ɹ æ
æ d z
b ɹ æ
ɛ ɹ iː
b ɹ æ
ɛ ɹ n
b ɹ æ
ɛ ɹ iː
b ɹ æ
d k oʊ
b ɹ æ
d ə k
b ɹ æ
æ d iː
b ɹ ə
d iː n
b ɹ ə
m ə s
b ɹ eɪ
d ə n
b ɹ æ
t ə n
b ɹ æ
d ə ɹ
b ɹ æ
iː l d
b ɹ æ
ə ɹ d
b ɹ æ
ɹ d z
b ɹ æ
ɹ d z
b ɹ æ
h ə m
b ɹ æ
d ɪ ʃ
b ɹ æ
d l iː
b ɹ æ
l iː z
b ɹ æ
d l iː
b ɹ æ
l iː z
b ɹ æ
l iː z
b ɹ æ
n ə ɹ
b ɹ æ
d n iː
b ɹ æ
d ʃ ɔː
b ɹ æ
ʃ ə ɹ
b ɹ æ
ɹ iː t
b ɹ æ
iː t s
b ɹ æ
æ d t
b ɹ æ
d k iː
b ɹ æ
l ə ɹ
b ɹ æ
d w eɪ
b ɹ æ
w ɛ l
b ɹ eɪ
eɪ d iː
b ɹ eɪ
d iː z
b ɹ æ
d iː ə
b ɹ æ
d iː ə
b ɹ ə
n ɪ n
b ɹ eɪ
d iː z
b ɹ eɪ
b ɹ æ
ɹ oʊ m
b ɹ eɪ
ɹ eɪ ɹ
b ɹ æ
ɹ æ f
b ɹ æ
ə ɹ d
b ɹ æ
ɹ æ ɡ
b ɹ ɑː
ɑː ɡ ə
b ɹ eɪ
ɡ ə n
b ɹ ə
n z ə
b ɹ ə
n z ə
b ɹ æ
d ə n
b ɹ eɪ
ɡ ə ɹ
b ɹ æ
ɹ æ ɡ
b ɹ æ
ʃ iː oʊ
b ɹ æ
æ ɡ d
b ɹ æ
ɡ ə ɹ
b ɹ æ
ə ɹ z
b ɹ æ
ɡ ɪ ŋ
b ɹ æ
ɔː t iː
b ɹ æ
æ ɡ z
b ɹ æ
æ ɡ z
b ɹ æ
h ə m
b ɹ ɑː
ɹ ɑː m
b ɹ ɑː
m ɪ n
b ɹ ɑː
ɑː m z
b ɹ ɑː
z ɪ z
b ɹ eɪ
ɹ eɪ d
b ɹ eɪ
d ɪ d
b ɹ eɪ
d ɪ ŋ
b ɹ eɪ
eɪ d z
b ɹ eɪ
w ʊ d
b ɹ eɪ
eɪ l iː
b ɹ eɪ
ɹ eɪ l
b ɹ eɪ
eɪ l z
b ɹ eɪ
ə ɹ d
b ɹ eɪ
ɹ eɪ n
b ɹ eɪ
eɪ n z
b ɹ eɪ
ə ɹ d
b ɹ eɪ
aɪ l d
b ɹ eɪ
d ɛ d
b ɹ eɪ
eɪ n d
b ɹ eɪ
n ə ɹ
b ɹ eɪ
ə ɹ d
b ɹ eɪ
l ɪ s
b ɹ eɪ
aʊ ə ɹ
b ɹ eɪ
eɪ n z
b ɹ eɪ
ɔː ɹ m
b ɹ eɪ
ɹ m d
b ɹ eɪ
m ɪ ŋ
b ɹ eɪ
ɹ m z
b ɹ eɪ
t ɹ iː
b ɹ eɪ
w ɑː ʃ
b ɹ eɪ
ɑː ʃ t
b ɹ eɪ
ʃ ə z
b ɹ eɪ
ʃ ɪ ŋ
b ɹ eɪ
eɪ n iː
b ɹ eɪ
ɹ eɪ z
b ɹ eɪ
eɪ z d
b ɹ eɪ
w eɪ t
b ɹ aɪ
d ə s
b ɹ ɑː
v ɪ tʃ
b ɹ eɪ
ɹ eɪ k
b ɹ eɪ
b ɪ l
b ɹ eɪ
eɪ k t
b ɹ eɪ
iː l d
b ɹ eɪ
m ə n
b ɹ eɪ
m ɛ n
b ɹ eɪ
k ə ɹ
b ɹ eɪ
eɪ k s
b ɹ eɪ
k ɪ ŋ
b ɹ æ
ɹ æ k
b ɹ æ
æ l iː
b ɹ æ
æ l iː
b ɹ æ
iː ə ɹ
b ɹ æ
ɔː ɹ n
b ɹ ɑː
ɑː l iː
b ɹ æ
ɹ æ m
b ɹ ɑː
ɑː m ə
b ɹ æ
l iː ə
b ɹ æ
l iː z
b ɹ eɪ
m ə n
b ɹ ɑː
iː l ə
b ɹ æ
b ə l
b ɹ æ
ə l z
b ɹ æ
l ɪ t
b ɹ eɪ
ɹ eɪ m
b ɹ æ
m ə l
b ɹ eɪ
m ə ɹ
b ɹ æ
h ə l
b ɹ æ
l ɪ dʒ
b ɹ æ
l ɪ t
b ɹ æ
l ɪ t
b ɹ æ
l ɛ t
b ɹ æ
m l iː
b ɹ æ
aɪ ə ɹ
b ɹ æ
m ə ɹ
b ɹ æ
t ə n
b ɹ æ
æ m z
b ɹ æ
s ə n
b ɹ æ
w ɛ l
b ɹ æ
ɹ æ n
b ɹ æ
ɡ æ n
b ɹ æ
n ə ɡ
b ɹ æ
n ə m
b ɹ æ
m ə n
b ɹ eɪ
n ə n
b ɹ æ
ŋ k ə
b ɹ ɑː
tʃ iː oʊ
b ɹ ɑː
ɑː t oʊ
b ɹ æ
æ n tʃ
b ɹ æ
tʃ ɪ z
b ɹ æ
æ n tʃ
b ɹ ə
n ʃ oʊ
b ɹ æ
n tʃ t
b ɹ æ
tʃ ə z
b ɹ æ
tʃ ɪ z
b ɹ æ
tʃ ɪ ŋ
b ɹ æ
l ə t
b ɹ æ
ə t s
b ɹ æ
ŋ k oʊ
b ɹ æ
æ n d
b ɹ æ
n d z
b ɹ æ
n d ə
b ɹ æ
n d aʊ
b ɹ æ
æ n d
b ɹ æ
ɛ ɹ iː
b ɹ æ
d ɪ d
b ɹ æ
d aɪ s
b ɹ æ
d ə l
b ɹ æ
d ə n
b ɹ æ
ə ɹ ɡ
b ɹ æ
ɡ ə ɹ
b ɹ æ
ə ɹ ɡ
b ɹ æ
ɡ ə ɹ
b ɹ æ
t aɪ n
b ɹ æ
t iː n
b ɹ æ
d ə ɹ
b ɹ æ
n d z
b ɹ æ
ə ɹ d
b ɹ æ
ɹ s t
b ɹ æ
n d iː
b ɹ æ
d ɪ ŋ
b ɹ æ
d ɪ s
b ɹ æ
d ɪ ʃ
b ɹ æ
ɪ ʃ t
b ɹ æ
ʃ ɪ z
b ɹ æ
ʃ ɪ ŋ
b ɹ æ
d ə l
b ɹ æ
d ə l
b ɹ æ
n eɪ m
b ɹ æ
n ə ɹ
b ɹ æ
n d oʊ
b ɹ æ
d oʊ z
b ɹ æ
d ə n
b ɹ æ
ə n z
b ɹ æ
n d aʊ
b ɹ æ
n d z
b ɹ æ
n d z
b ɹ æ
z ɪ z
b ɹ æ
t ə ɹ
b ɹ æ
æ n t
b ɹ æ
n ə ɹ
b ɹ æ
oʊ l d
b ɹ æ
w aɪ n
b ɹ æ
n d iː
b ɹ æ
w aɪ n
b ɹ eɪ
n ə ɹ
b ɹ æ
ə ɹ d
b ɹ æ
h ə m
b ɹ æ
æ n iː
b ɹ æ
n ɪ f
b ɹ æ
ɪ f s
b ɹ æ
ɡ ə n
b ɹ ə
ɪ l oʊ
b ɹ æ
n ɪ n
b ɹ æ
l ɑː v
b ɹ ə
s k iː
b ɹ æ
æ ŋ k
b ɹ æ
ŋ k s
b ɹ æ
ŋ k iː
b ɹ æ
ŋ k oʊ
b ɹ æ
ŋ k s
b ɹ æ
ɹ æ n
b ɹ æ
æ n ə
b ɹ æ
n ə m
b ɹ æ
n ə n
b ɹ æ
n ə n
b ɹ æ
n ə ɹ
b ɹ æ
n ɪ k
b ɹ æ
ɡ ə n
b ɹ æ
n ɪ ŋ
b ɹ æ
n ə k
b ɹ æ
n ə n
b ɹ æ
n ə m
b ɹ æ
n ə n
b ɹ æ
k ə m
b ɹ æ
k ə m
b ɹ æ
k ʌ m
b ɹ æ
k ə m
b ɹ æ
iː l d
b ɹ æ
ə ɹ d
b ɹ æ
s ə m
b ɹ æ
s ə n
b ɹ æ
ʌ n z
b ɹ æ
t æ d
b ɹ æ
t ə ɹ
b ɹ æ
æ n t
b ɹ æ
t l iː
b ɹ æ
t l iː
b ɹ æ
n ə ɹ
b ɹ æ
t ə n
b ɹ æ
n ə m
b ɹ æ
j ə n
b ɹ æ
æ n z
b ɹ æ
ɹ æ k
b ɹ æ
ɹ æ s
b ɹ ɑː
ɹ ɑː s
b ɹ ə
k eɪ d
b ɹ æ
k ə n
b ɹ æ
ɹ æ ʃ
b ɹ æ
s k oʊ
b ɹ eɪ
ɹ eɪ z
b ɹ æ
s ə l
b ɹ ə
t ə n
b ɹ æ
iː l d
b ɹ æ
ɹ æ ʃ
b ɹ æ
ʃ iː ɹ
b ɹ æ
iː ɹ z
b ɹ æ
ʃ ə ɹ
b ɹ æ
ə ɹ z
b ɹ æ
iː ə ɹ
b ɹ æ
n ə s
b ɹ æ
s ə l
b ɹ ə
s iː l
b ɹ ə
l j ə
b ɹ ə
l j ə
b ɹ æ
t ə n
b ɹ æ
æ s oʊ
b ɹ æ
æ z oʊ
b ɹ æ
ɹ æ s
b ɹ æ
ə ɹ d
b ɹ ə
ə s oʊ
b ɹ æ
s ə l
b ɹ æ
ə ɹ iː
b ɹ æ
s ɪ z
b ɹ æ
s ə ɹ
b ɹ æ
iː l d
b ɹ æ
æ s oʊ
b ɹ æ
s oʊ z
b ɹ æ
æ s iː
b ɹ æ
w ɛ l
b ɹ æ
ɹ æ t
b ɹ æ
tʃ ə ɹ
b ɹ æ
t ɪ n
b ɹ æ
æ t s
b ɹ æ
ɹ æ tʃ
b ɹ æ
ɹ æ t
b ɹ ə
t eɪ n
b ɹ ɑː
ɑː v ə
b ɹ ɑː
v ə z
b ɹ æ
t ə n
b ɹ æ
t ɪ n
b ɹ æ
t ə l
b ɹ æ
t ə n
b ɹ æ
ɹ s t
b ɹ æ
æ t s
b ɹ aʊ
b ɹ ɔː
ɹ ɔː tʃ
b ɹ ɔː
tʃ ə ɹ
b ɹ ɔː
tʃ l iː
b ɹ ɔː
ɹ ɔː d
b ɹ ɔː
ɹ ɔː d
b ɹ aʊ
aʊ ə ɹ
b ɹ ɔː
t ə n
b ɹ ɑː
ɑː h ɑː
b ɹ ɔː
ɔː l t
b ɹ ɔː
ɹ ɔː n
b ɹ ɔː
ɔː n z
b ɹ ɔː
ɔː n d
b ɹ ɔː
ɹ ɔː n
b ɹ ɔː
n ə ɹ
b ɹ ɔː
ɔː n z
b ɹ aʊ
w aɪ ɡ
b ɹ ɔː
t iː n
b ɹ ɔː
t aɪ n
b ɹ ɔː
ɔː l d
b ɹ ɔː
ɹ ɔː z
b ɹ oʊ
ɡ ə m
b ɹ ɔː
æ m z
b ɹ ə
ɑː d oʊ
b ɹ eɪ
ɹ eɪ v
b ɹ eɪ
eɪ v d
b ɹ eɪ
ɑː ɹ t
b ɹ eɪ
v l iː
b ɹ eɪ
v ə ɹ
b ɹ eɪ
m ə n
b ɹ eɪ
ə ɹ iː
b ɹ eɪ
eɪ v z
b ɹ eɪ
eɪ v z
b ɹ eɪ
ə s t
b ɹ eɪ
v ɪ ŋ
b ɹ ɑː
ɑː v oʊ
b ɹ ə
ʊ ɹ ə
b ɹ ɔː
ɔː ə ɹ
b ɹ ɔː
ɹ ɔː l
b ɹ ɔː
ɔː l iː
b ɹ ɔː
l ɪ ŋ
b ɹ ɔː
ɔː l z
b ɹ ɔː
ɹ ɔː n
b ɹ ɔː
n ə ɹ
b ɹ ɔː
ɔː n iː
b ɹ æ
t ə n
b ɹ eɪ
b ɹ eɪ
b ɔː j
b ɹ eɪ
eɪ ə ɹ
b ɹ eɪ
iː l d
b ɹ eɪ
m ə n
b ɹ eɪ
t ə n
b ɹ æ
ɹ æ z
b ɹ æ
z d ə
b ɹ ə
z iː l
b ɹ ə
ə z oʊ
b ɹ æ
æ z iː
b ɹ æ
z ə l
b ɹ æ
z ə l
b ɹ ə
t ə n
b ɹ eɪ
z ə n
b ɹ eɪ
n l iː
b ɹ eɪ
n ə s
b ɹ ə
z iː l
b ɹ eɪ
iː ə ɹ
b ɹ eɪ
ə ɹ z
b ɹ ə
z ɪ l
b ɹ ə
ɪ l z
b ɹ ɑː
z aɪ l
b ɹ ə
j ə n
b ɹ ə
ə n z
b ɹ æ
z ə l
b ɹ ɑː
z oʊ s
b ɹ æ
v ɪ l
b ɹ æ
ɪ l z
b ɹ æ
z ə l
b ɹ æ
z ə l
b ɹ ɪ
ɪ k ə
b ɛ ɹ
tʃ k oʊ
b ɛ ɹ
k oʊ z
b ɹ iː
b ɹ iː
ɹ iː tʃ
b ɹ iː
iː tʃ t
b ɹ iː
tʃ ɪ z
b ɹ iː
tʃ ɪ ŋ
b ɹ ɛ
ɹ ɛ d
b ɹ ɛ
k ə t
b ɹ ɛ
ɑː k s
b ɹ ɛ
d ɪ d
b ɹ ɛ
ɹ uː t
b ɹ ɛ
d ɪ ŋ
b ɹ ɛ
ɛ d z
b ɹ ɛ
ɛ d θ
b ɹ ɛ
n ə ɹ
b ɹ ɛ
ə ɹ z
b ɹ ɛ
ɛ d iː
b ɹ eɪ
ɹ eɪ k
b ɹ eɪ
b ə l
b ɹ eɪ
k ɪ dʒ
b ɹ eɪ
ə w eɪ
b ɹ eɪ
d aʊ n
b ɹ eɪ
aʊ n z
b ɹ eɪ
k ə ɹ
b ɹ eɪ
ə ɹ z
b ɹ eɪ
v ə n
b ɹ eɪ
eɪ k iː
b ɹ ɛ
ə s t
b ɹ ɛ
s t s
b ɹ eɪ
iː l d
b ɹ eɪ
k ɪ ŋ
b ɹ eɪ
m eɪ t
b ɹ eɪ
n ɛ k
b ɹ eɪ
k aʊ t
b ɹ eɪ
aʊ t s
b ɹ eɪ
eɪ k s
b ɹ eɪ
θ ɹ uː
b ɹ eɪ
ɹ uː z
b ɹ eɪ
k ʌ p
b ɹ eɪ
ə p s
b ɹ eɪ
t ə ɹ
b ɹ eɪ
eɪ k iː
b ɹ iː
ɹ iː m
b ɹ iː
ɹ iː n
b ɹ ɛ
ɹ l iː
b ɹ ɛ
ɛ s t
b ɹ ɛ
t ə d
b ɹ ɛ
t ɪ d
b ɹ ɛ
f ɛ d
b ɹ ɛ
f iː d
b ɹ ɛ
d ɪ ŋ
b ɹ ɛ
ɪ ŋ z
b ɹ ɛ
iː d z
b ɹ ɛ
t ɪ ŋ
b ɹ ɛ
l eɪ t
b ɹ ɛ
s t s
b ɹ ɛ
ɹ ɛ θ
b ɹ iː
ɹ iː ð
b ɹ iː
iː ð d
b ɹ iː
ð ə ɹ
b ɹ iː
iː ð z
b ɹ iː
ð ɪ ŋ
b ɹ ɛ
l ə s
b ɹ ɛ
s l iː
b ɹ ɛ
ɛ θ s
b ɹ ɛ
k ɪ ŋ
b ɹ ɛ
ŋ l iː
b ɹ ɛ
ɛ θ iː
b ɹ oʊ
b ɹ oʊ
b ɹ oʊ
b ɹ uː
b ɹ iː
z iː l
b ɹ ɛ
b ə k
b ɹ ɛ
b ə l
b ɹ ɛ
k iː n
b ɹ ɛ
s ə n
b ɹ ɛ
k ə ɹ
b ɹ ɛ
ɛ k t
b ɹ ɛ
t ə l
b ɹ ɛ
ɹ ɛ k
b ɹ ɛ
ɹ ɪ dʒ
b ɹ ɛ
k ə ɹ
b ɹ ɛ
ɛ k oʊ
b ɹ ɛ
ɹ ɛ d
b ɹ eɪ
eɪ d ə
b ɹ iː
ɹ iː d
b ɹ iː
d ə n
b ɹ ɛ
s ə n
b ɹ iː
b ɹ iː
ɹ iː s
b ɹ iː
ɹ iː tʃ
b ɹ iː
tʃ ɪ ŋ
b ɹ iː
ɹ iː d
b ɹ iː
iː d z
b ɹ iː
d ə n
b ɹ iː
ə n z
b ɹ iː
d ə ɹ
b ɹ iː
ə ɹ z
b ɹ iː
ə ɹ z
b ɹ iː
d ɪ ŋ
b ɹ iː
l ʌ v
b ɹ iː
iː d z
b ɹ iː
ə n d
b ɹ iː
ɹ iː n
b ɹ iː
ɹ iː z
b ɹ iː
ɹ iː z
b ɹ iː
ɹ iː z
b ɹ iː
iː z d
b ɹ iː
z ɪ z
b ɹ iː
z w eɪ
b ɹ iː
iː z iː
b ɹ iː
ɹ iː dʒ
b ɹ iː
ɡ ə ɹ
b ɹ ɛ
l iː oʊ
b ɹ ɛ
m ə n
b ɹ iː
ɡ ə t
b ɹ ɛ
ɹ ɛ m
b ɹ ɛ
m ə ɹ
b ɹ aɪ
b ɑː k
b ɹ aɪ
t aɪ n
b ɹ aɪ
t iː n
b ɹ aɪ
aɪ ə ɹ
b ɹ eɪ
n ə ɹ
b ɹ aɪ
t ə n
b ɹ aɪ
n ə ɹ
b ɹ aɪ
n ɪ ŋ
b ɹ aɪ
ŋ ə ɹ
b ɹ aɪ
ɹ aɪ ʃ
b ɹ iː
ɹ iː t
b ɹ aɪ
b ɑː k
b ɹ aɪ
ɑː ɹ θ
b ɹ aɪ
b ɑː k
b ɹ aɪ
t aɪ n
b ɹ aɪ
t iː n
b ɹ aɪ
aʊ p t
b ɹ aɪ
j t s
b ɹ aɪ
l ɪ ŋ
b ɹ aɪ
l ɪ ŋ
b ɹ aɪ
m ə n
b ɹ aɪ
ə ɹ t
b ɹ aɪ
s ə ɹ
b ɹ aɪ
m ə n
b ɹ ɛ
ɹ ɛ k
b ɹ ɛ
ə n d
b ɹ ɛ
ə ɹ d
b ɹ ɛ
ɹ ɛ m
b ɹ ɛ
m ə n
b ɹ iː
m ə ɹ
b ɹ ɛ
m ə ɹ
b ɹ ɛ
n ə ɹ
b ɹ ɛ
ɛ m z
b ɹ ɛ
ɹ ɛ n
